,Union europeenne,France,Luxembourg,Pays-Bas,Allemagne,Italie,Irlande,Danemark,Grece,Portugal,Espagne,Suede,Finlande,Autriche,Malte,Estonie,Lettonie,Lituanie,Pologne,Tchequie,Slovaquie,Hongrie,Slovenie,Chypre,Bulgarie,Roumanie,Croatie,Autres pays europeens,Royaume-Uni,Islande,Norvege,Suisse,Turquie,Ukraine,Russie,Autres pays d'Europe
Aug-02,7450,1730.3,274.9,1585.5,1993.4,454.4,76.6,100.7,71.4,64.9,362.2,179.6,64.3,112.4,3.3,5,5.9,9,130.3,70.5,19.2,72.5,12.9,6.8,7.1,26.5,10.2,1508.9,1134.2,2.5,42.5,143.5,68.6,23.7,75.2,18.7
Sep-02,9530.1,2430.4,317.3,1863.3,2334.5,782.7,89.1,113.6,94.9,103.2,565.2,193.8,69.8,147.4,3.8,8.3,7.2,13.3,147.4,81.1,24.9,62.8,14.8,6.9,9.4,31.9,13.1,1891.5,1401.3,2.8,56.2,182.3,116.9,19.7,94.2,18.1
Oct-02,10411.8,2607,341.4,1995.8,2628.7,840.9,141.9,118.7,97.3,100.3,590.7,219.6,77.6,151.4,5.2,9.9,11.1,15.1,156.9,99.1,31.3,85,16.7,7.3,12.7,31.6,18.6,1950.2,1427.5,3.2,55.3,185.8,126.2,23,104.5,24.6
Nov-02,9198.7,2302.3,316.8,1727.3,2321.5,752.6,112.5,112.3,82.5,92.8,527.2,210.4,66.6,144.3,4.4,7.6,8.8,15.5,137.4,81.9,31.4,68,13.4,6.7,10.9,27.7,15.8,1737.4,1243.4,2.8,46.1,184.4,112.8,33.1,93.9,20.8
Dec-02,8257.7,2125.2,343.8,1680.2,1926,689.8,82,95.9,76.3,80.1,467.2,171.1,60.2,123.1,6.4,5.8,5.9,11.5,111.1,58.8,26.2,52.9,9.4,5.9,7.9,24,11,1469.8,1055,2.8,38.3,145.8,100.4,21.6,82.3,23.6
Jan-03,8874.3,2367.9,317,1755.1,2116.6,729.2,93.1,101.3,80.5,82.9,451.4,187.4,74.7,126.9,7.2,7.2,5.6,11.5,128.6,74.9,25.4,64,13.9,5.8,10.7,24,11.7,1610.7,1166.6,2.4,47.7,172.1,106.8,16,81.1,18
Feb-03,8925.3,2271.3,332.3,1706.9,2236.2,724.4,95.2,107.4,81.7,87,482,189.5,69.7,137.1,5.2,8.2,7,12.2,130.1,74.6,30.3,69.9,13.9,6.2,8.8,25.5,12.8,1595.1,1145.6,2.5,44.1,171.4,96.5,24.7,93.9,16.4
Mar-03,9922.7,2505.9,376.6,1870.4,2502.5,793.8,105.8,128.3,87.7,94.5,565.1,208.3,82.5,152.7,6,6.5,6.8,12.8,135.3,82.3,28.6,89.8,14.4,7,12.2,32.5,14.3,1800.7,1239.6,3.5,51.9,252.6,114,25,95.8,18.4
Apr-03,9641.6,2433.9,357.4,1803.4,2499.3,727.1,87.8,106.3,80.9,84,516.6,245.2,77.9,151.4,5.7,6.9,6.2,15.2,145.4,86.5,27.3,91,16,6.2,14.9,32.4,16.9,1641,1179.1,3.2,52,164.8,107.2,24.8,89.6,20.4
May-03,9195.6,2272.7,310,1714.1,2388.9,754.5,83.2,108.8,77.8,83.3,530.7,202.7,75.2,145.9,4.3,7.7,6.5,13.3,138.5,72,27.1,97.9,15.9,6.4,12.9,31.8,13.5,1569.6,1115.6,3.4,54.4,163.2,106.2,20.8,86.6,19.3
Jun-03,9650.9,2520.2,317.2,1749.4,2495.3,761.4,72.3,111.9,85.4,92.1,562.8,203,69,141.5,4.5,8.5,5.8,13.9,141.9,89.3,26.2,97.7,17.4,5.7,13,30.5,15,1694.3,1230.9,3.8,46.4,178.7,104.1,21.5,85.8,23.1
Jul-03,8864.6,2248.8,290.3,1586.7,2377.1,693.4,63,99,76.5,85.3,532,136.8,62.9,153.3,3.7,8.7,6.6,14.5,151.8,80.3,24,91.3,17.1,5.5,11.8,30.8,13.4,1681.2,1208.2,3.7,41,161.8,118.7,28.8,97.7,21.4
Aug-03,7080,1640.1,256.9,1411.9,2009.8,398.7,58.4,99.8,64.6,63.2,371.6,155.1,60.2,110.7,3.5,6.5,5.5,10.3,125.8,71.1,22.2,71.6,13,4.7,8.6,24.8,11.2,1399.9,996.8,3.2,46.8,130.9,102.4,25,77.9,16.8
Sep-03,9845.7,2525.2,330.1,1834.3,2459.5,777.2,82.1,113.4,93.7,91.7,552.8,237.7,78.5,149.9,4.8,9.7,7.4,13.9,159.6,112.4,27.2,95.6,20.9,6.9,12.2,34.4,14.6,1800.9,1272.7,4.2,49.7,175.2,138.5,27.5,107.7,25.4
Oct-03,10324,2589.1,360.8,1918,2671.1,789.7,92.8,124.5,94.1,102.7,588.7,229,81.5,157.6,6.7,9.7,6.8,17.8,170.3,95.1,32.5,93.9,21.9,6.2,13.4,32.4,17.9,1824.7,1256.2,3.5,55.3,210.1,145.6,27.4,102.4,24.1
Nov-03,9214.8,2209.6,311.6,1687.9,2438.3,757.2,82.2,107.2,84.1,86.5,556.2,190.9,69.8,155.6,6.2,9.8,6.2,13,164.8,86.1,27.8,78,24.2,5.1,14.2,31.1,11.2,1676.9,1173.3,4.1,48.3,178.8,130.3,26.7,94.3,21.1
Dec-03,8876.1,2315.3,317.5,1741.3,2277.7,644.4,84.4,101.8,82.4,76.5,485.5,176.1,68.3,130.2,6.3,6.4,5.4,11.1,117.4,68.1,23.5,61.6,19.1,5.3,12.9,25.9,11.8,1668.7,1165.2,3,42,157.7,142.7,29.2,101.7,27.1
Jan-04,8986.4,2368.1,322.5,1681.3,2250.7,692,92.9,107.2,80.6,80.2,489.5,177.4,74.6,138.7,6.1,6.6,4.9,10.7,139.9,76.2,31.5,80.7,16.3,6.2,12.2,27.1,12.5,1606.5,1168,2.7,44.5,153.3,128.6,16.6,73.4,19.5
Feb-04,9233.8,2402.2,356.8,1694.7,2275.2,739.8,91.4,107,91.7,80.8,556.7,172.6,70.2,136.3,5.1,7.3,6,10.5,167,84.6,33.1,64.1,17.5,6.3,12.6,29.9,14.4,1709.4,1225.4,2.8,43.2,161.3,133.9,21.8,93.2,27.8
Mar-04,11133.8,2832.5,420.2,2067.4,2773.8,891.6,125.1,137.4,100.9,105.6,630.1,239.6,89.6,181.6,4.9,9,6.9,14,207.9,102,36.1,68.1,17.8,7.2,12.8,35.3,16.5,1909.3,1333.1,4,49,179.6,185.9,27.1,105.8,24.9
Apr-04,10071,2575.6,367.8,1874.9,2551.1,770.5,95,119.3,98.7,97.3,566.8,210.4,87.3,161.1,7,8.2,6.4,12.9,190.5,93.5,33.2,55.2,18.1,6,12.3,29.7,22.2,1715.4,1193.8,2.6,48.5,176.9,139,25.2,106.1,23.4
May-04,9411.1,2286.8,348.1,1746.1,2407.4,753.1,115.3,113.6,90,83.6,544.8,205.9,76.7,154.6,4.6,8.6,4,9.6,184.6,89,32.4,65.8,15.2,9.8,11.2,30.1,20.1,1625.9,1089.1,3.8,52.7,162.4,153.2,35.4,109.2,20.1
Jun-04,10792.7,2784.2,383.7,1992,2641.2,902.7,114.5,141.8,110.4,99.7,606.1,224.6,92.7,175.4,4.8,9.3,6.3,12.9,179.9,104.2,34.7,81.6,18.8,7,16.5,35.5,12.2,2015.9,1347.7,3.6,83.1,221.1,172.4,27.5,131,29.6
Jul-04,9438.1,2348,342.3,1734.2,2524.9,719.7,115.3,110.9,98.6,80.9,507.5,160.5,72.5,161.4,7.4,9.7,6.2,13.1,158.9,83.6,31.4,69.6,15.9,6.3,15.1,29.8,14.3,1719.7,1182,3.5,43.6,160.8,148.9,27.4,130.2,23.3
Aug-04,8368.3,1980.5,316.8,1647.6,2340.6,488.6,87,111.7,67.5,70.8,437.2,189.6,72,138.2,3.8,8.6,4.9,11.3,147,82,30.1,57.6,16.3,6,10.7,32.4,9.4,1598.4,1116.3,2.9,41.6,143.6,134.6,27.8,109.3,22.2
Sep-04,10868.2,2685,394.7,2047.1,2733.7,867.6,107.4,142.6,98.6,99.2,625.8,252,92.9,175.3,5.2,10.2,6.3,14.2,185.8,106.4,39.6,78.5,21.6,8.3,16.1,40.9,13.5,1952.9,1356.5,4.8,60.2,195.5,157.2,29.3,122.5,26.8
Oct-04,10940.9,2739.5,383.9,2006.3,2824.8,848.6,105.8,131.6,98.4,103.7,650.1,238.5,91.1,178.2,6.6,9.5,6.3,11.8,183.2,98.9,36.5,77.9,21.6,21,13.9,40.6,12.6,1943.9,1324.8,3.7,65.1,190.3,173.8,34,123.9,28.3
Nov-04,10782.9,2739.5,393.7,1958,2727.6,816.5,103.1,148.8,110.9,91.9,671.3,240.3,92.1,169.1,6.2,8.2,5.7,13.4,171.8,100.8,37.4,78,20.2,12.6,15.4,38.3,11.8,1928.7,1345.7,3.6,55.4,209,136.3,29.9,117,31.9
Dec-04,10276.2,2648.1,393.1,2047.4,2566.5,737.3,106.6,127,89.1,89,511.8,244.8,99,167.4,4,7.8,4.8,11.6,149.2,95.4,28.6,61.7,18.1,8.8,15.4,33.7,10,1748.2,1177.3,3.1,55.1,175.4,156.6,26.1,128.9,25.7
Jan-05,9894.8,2624.5,360.7,1845.2,2461.6,751.6,94.2,116.9,86,90.4,557.2,215.2,90.4,131.1,4.5,6.9,5.3,10.4,166,90.4,27.4,71.3,28.4,6.5,10.5,33.2,9,1780.3,1274.2,5,54.6,170.8,140.8,21.2,96.2,17.6
Feb-05,10319.6,2708.9,363.3,1884.7,2501.9,847,117.6,124,87.7,93.6,615.3,217.9,91.4,142.6,39.2,9.5,5.4,10.2,170.1,101.7,30.3,68.5,20.4,7.2,12.4,37.5,11.2,1835.4,1269,5,56.1,196.5,139.6,21.6,127.2,20.3
Mar-05,11956.8,3236.7,437,2157.9,2886.3,916.8,136.7,145.8,97.9,127.7,682.6,259.1,103.8,172.1,5.4,9.6,8,12.4,212.3,115.6,36,89,25.5,10.5,14.4,44.5,13,2122.1,1381.4,4.9,57.6,314.4,163.2,32.3,144.8,23.5
Apr-05,11160.8,2844.2,400.7,2052.8,2884.5,809.6,133.6,128.9,97.9,106.3,660.1,231.4,99,160.9,4.8,11.3,6.7,13.7,200.3,104,33,82.6,18.7,7.3,16.3,38.3,14,1849.9,1228.6,5.4,61.6,171.8,181,28.9,147.7,24.9
May-05,10498.7,2804.3,375.3,1918.5,2538.3,791.2,131.4,119,83.8,99,620,232.1,86.7,153.5,11.7,11.6,7,14.7,178.4,103.5,33.6,82.8,22,7.7,16.2,44.1,12.3,1764.8,1156.9,5.3,59.5,193.3,155,28.4,142.3,24.3
Jun-05,11417,2889.6,393.6,2181.5,2854.5,842.4,122.3,155.4,92.6,110.9,689.2,234.3,99.2,161.2,5.8,11.2,7.8,17.1,203.3,111.5,38.2,85.4,23.9,7.9,18.3,45.8,14.3,2006.2,1278.3,4.3,127,208.4,174.2,27,155.1,32
Jul-05,9492.1,2414.8,381.2,1771.4,2393.9,722.6,116.8,117.7,87.9,92.7,522,161.5,70.3,141.6,4.9,10.8,6.5,15.5,180.7,93.3,26,68.1,19,5.9,14.3,40.4,12.5,1694.9,1092.1,3.9,101.8,169.8,157.3,21.7,124.2,24.2
Aug-05,9215.9,2165,334,1903.7,2528.7,520.9,113.9,128.7,72.3,78.3,443.8,194.7,83.8,137.2,4.3,10.5,6.5,13.1,182,101.3,33.6,74.3,18.5,6.4,14.9,36.7,8.9,1711.8,1168.5,4.7,47.7,156.9,147.7,24.1,133.7,28.5
Sep-05,11614.8,2892.4,433.8,2205.3,2846.4,896.4,127.4,145.1,108.3,113.1,691.7,256.6,96.5,158.9,5.1,13.3,12.3,17.5,231.9,124.2,43,88.4,24.8,8,15.6,45.9,13,2010.6,1324.5,5.1,70.7,214.5,186.4,30.8,146.1,32.5
Oct-05,11066.9,2829.9,420.8,2163.3,2690.5,846.4,101.1,131,89.6,92.6,584.3,254.2,93.2,153.7,4.4,12.6,10.9,18.7,217.9,115.1,43.1,88,23.6,7.1,16.4,44.7,13.9,1827.5,1164.6,4.8,62.4,193.7,181.5,29.5,157.3,33.6
Nov-05,11796.3,3183.2,443.8,2217.4,2780.7,886.5,130.9,151.4,96,101,631.5,285.9,92.8,165.6,6.6,14,9.4,21.7,223.7,110.1,42.2,92.6,23.5,7.8,16.9,46.7,14.4,2184.7,1519.5,4.6,59,210.7,161.4,30,173.8,25.7
Dec-05,11226.4,3202.2,709.4,2132.4,2461.2,709.8,92.9,129.7,88.7,86.5,607.4,230,80.3,141.3,4.4,11.3,7.5,18,186.7,103.2,35.9,82.3,27.9,7.5,16,41.1,13,2001.3,1352.5,3.9,56.9,214.7,183,25.9,130.7,33.6
Jan-06,10903.9,3083.8,447.1,2012.4,2542.4,768.4,137.2,121,87,92.8,597.8,210.2,86.2,155.2,3.8,9.7,7.3,14.7,211.4,110.5,38.1,83.3,21.3,7.4,11.5,33.4,10.3,2058.6,1418.8,4.7,80.8,228.2,143,23.5,136.4,23.1
Feb-06,10864.5,2897,401,1978.5,2656.7,810,118,130.1,94.7,99.2,634.9,214.4,91.6,146.8,4.6,10.4,6.4,14.4,216.3,109,41.8,89.8,18.8,8.5,15.4,43.6,12.7,2290.4,1555.7,3.8,98.5,234.6,167.2,38.4,157.3,34.9
Mar-06,13072.7,3542.2,515.9,2399.5,3144.6,946.3,115.2,169.4,122.6,113.1,728.2,270.5,116.9,187.8,5.7,15.3,9.4,21.8,244.4,137.9,45.3,91.5,29.4,11.1,16.9,55.4,16.5,2744.4,1736.8,6.4,131.1,389,219.5,37.2,192.5,31.8
Apr-06,10976.9,2864.9,440.3,2077.5,2714,769.2,110.6,121.9,96.9,95.9,574.1,267.4,89.1,151.4,4.4,12.3,8.4,16,216.7,118.2,48.7,77.8,22.8,9.9,15.5,40.4,12.6,1724.7,1090.1,5,63.5,169,185.9,33.7,153.2,24.4
May-06,12175.8,3067.7,411.8,2398.4,3004.5,877.7,133,145.2,105,110,681.7,260.4,110.7,179.5,5.1,15.8,9.5,18.8,248,129.2,45.8,98.3,27.2,14.8,16.7,43.1,17.8,2012.2,1259.7,12.1,72.8,231.8,195.2,34.2,178.3,28
Jun-06,12730.5,3189.9,420.6,2405.9,3239.2,921,129.2,163.9,108.7,110.5,729.3,280.5,113.9,187,5.3,15.5,9.8,22.2,251.3,145.1,48.2,92.1,29.2,15.8,22.4,59.9,14.4,2159.4,1360.2,6.3,81.7,243.3,193.8,38.4,203.4,32.2
Jul-06,10817.7,2707,396.3,2043.4,2779.6,787.7,120.6,123.3,106,84.8,635.8,176.8,86.7,171.1,4.1,13,6.9,15.8,210.5,113.6,35.4,78.9,27.2,12.8,15.5,51.1,13.7,1899,1191.8,4.4,57.3,213.3,185.4,30.6,188.3,27.9
Aug-06,10193.9,2291.8,356.6,2139.9,2855,555.5,96.4,139.9,82,73.9,492,258,95.9,151.7,4.8,14.3,9.9,15.3,209.8,122.5,42.3,76.3,24.2,10.1,16.7,44.4,14.8,1845.7,1167.9,4.5,64.2,193.4,175.4,30.7,180.7,29
Sep-06,12483.2,2978.3,401.8,2302,3223.6,942.1,111.6,228.4,103.3,103.8,715.6,311.9,115,203.1,3.7,14.4,11.3,22.1,262.1,147.7,45.3,89.7,33.1,14.5,19.8,63,15.8,2166.3,1364.1,5.9,83.3,237.9,201.9,31.6,210.6,31
Oct-06,12695.5,2998.6,405.5,2333.1,3240.4,994.4,124.7,177.4,112.8,118.4,736.5,325,127.6,204.6,5.8,14.8,12.4,24.6,281.6,156.5,52.8,88.9,31.1,18.9,27.2,67,14.9,2157,1316.4,5.8,88.5,261.7,162.8,40.1,249.7,32
Nov-06,12636.2,3073.7,422.4,2301.1,3243,950.8,136.2,159.2,106.1,110.1,710,323.8,115.5,208.8,4,17.2,13,25.2,270.3,154.9,47.5,91.8,29.4,13.8,23.5,68.7,16.3,2267.5,1406.5,5.4,71.5,274.6,197.4,36,239.8,36.4
Dec-06,10817.7,2690.3,408.8,2077.2,2729,728.5,97,144.7,83.9,91.7,592,284.5,105.2,153.6,4.5,10.7,9.8,18.7,216.1,120.2,41.5,65.6,28,14.8,23.4,62.4,15.8,1822.3,1080.5,4.5,63.1,237.5,166.5,36.8,177.8,55.6
Jan-07,12113,2977.2,410.4,2286.2,3001.7,895.2,146.1,158,113.5,108.5,731.7,276.3,108.6,183.1,4.6,13.3,12.3,32.3,257.5,148,44.4,78.1,32.4,13.7,21.7,44.8,13.5,2029.7,1326,5.4,73.7,221,186.1,27.9,161.1,28.5
Feb-07,11754.5,2917.4,392.5,2211.9,2835.5,910,141.8,159.1,109.8,100.9,698.9,273.2,111.2,172.3,5,12.3,13.8,24.5,263.6,139.7,48.9,81.6,30.4,12.4,22,50.7,14.9,2043.9,1289.3,5.2,68,258.4,189.4,29.1,172.5,31.9
Mar-07,13492.5,3286,495.9,2512.1,3331.1,1007.6,136.7,182.3,138.5,136.6,795.1,302.5,120.7,211.9,5,15.8,14.3,23.9,299.9,177,54,88.2,33.7,15.3,26.9,64.7,16.7,2333.6,1468.7,9,90.4,245.7,247.6,41.8,194.1,36.1
Apr-07,12060,2988.4,400.3,2260.1,2921.7,895.9,137.6,208.6,106.8,115.5,704,277.7,111.8,181.9,7,14.3,12.2,20.9,274.8,148.9,48.9,85.7,31.2,13.8,26.6,51.8,13.8,1918.6,1175.6,5.6,74.1,197.1,205.8,30.1,195.7,34.6
May-07,12748.3,3004.5,422.9,2409.1,3253.6,950.6,143.6,150.9,114.4,128.3,716.7,303.6,126.4,190.9,5.8,15.5,16.1,31.9,305.8,156.3,55.4,90,30.2,12.5,32.6,65.4,15.2,2082.4,1215.2,5,82.5,278.8,195.2,38.5,223,44.3
Jun-07,13341.9,3271.4,444.4,2463.6,3296.7,961.4,131,188.5,129.8,118.2,796.2,328.8,126.6,198.3,7,16.2,16.7,32,321.1,167.7,57.4,101.3,30.6,14.5,35.6,73.5,13.6,2236.3,1375.8,5.8,98.8,241.2,203.2,44.3,221.4,45.8
Jul-07,11881.3,3030.4,391.1,2243.2,2949.2,847.8,132.5,149.4,115.5,107.9,631.7,230.1,100.4,181.3,5.7,16.8,12,31.4,288,144.8,50.2,81.1,30.9,12.1,26.9,55.1,16,2178.3,1333.3,6.5,84.6,258.6,189.4,36.2,236.3,33.5
Aug-07,10804.5,2472.6,330.4,2253.4,2910.8,564.8,113.5,166.4,102.5,88.3,485.9,284.1,110.4,155.8,5.9,14.6,11.1,26,285.2,153.2,49.6,84.9,27.4,11.8,28.8,54.6,12.6,2063.7,1260.7,8.3,77.1,217.2,187.7,47.4,230.6,34.8
Sep-07,12580.7,3133.6,381.1,2350.5,3141.8,892.8,124.7,172.7,126.7,116.1,667.3,335.6,122.8,186.7,7.3,15.4,10,30.3,307.3,160.5,54.1,88.5,33.8,16,30.3,59.9,14.9,2171.3,1387.6,6,87.2,197.1,206.3,33.5,214.5,39
Oct-07,14103.2,3586.2,453.4,2723.1,3346.3,1026,142.1,168.6,137.9,141.9,759.2,322.4,131.5,209.5,8.1,18.2,16.5,31.2,347.4,197.4,59.1,97.6,32.8,14.5,35.5,79.9,16.8,2468,1488.1,8.8,106.9,309.5,202.7,42.9,264.1,45
Nov-07,13277.9,3489.1,457.2,2500.2,3093,936.4,144.6,167.7,130.5,119,709.7,312.8,112.4,214.7,6.3,14.2,16.3,27,332.2,171.4,60.5,87.5,36.2,13.9,31.1,79.9,14.2,2248.3,1377.9,6.4,95,247,196.5,39.7,234,51.8
Dec-07,10956.6,2941,452.3,2157.7,2465.5,707.6,149.9,134.1,109.3,103.8,548.1,230.8,99.2,162.7,5.2,10.3,9.8,24.8,253.6,141.1,47.1,73.1,30,8.9,21.9,56.4,12.5,1891.3,1094.7,4.5,68.8,294.5,183.3,46.5,164.6,34.4
Jan-08,12828.4,3304.5,433.8,2456.7,3098.6,920.5,138.2,172,110.4,129.3,635.6,273.9,121,188.1,5.3,15,11.8,32,326.4,166.4,57.1,79.4,34.7,13.4,26.4,65.1,12.7,2130.5,1404.1,5.2,77.5,228,193.4,28.7,166.9,26.7
Feb-08,13095,3347.6,458.9,2462.8,3173.3,912.4,146.9,181.6,111.4,133,651.1,279.7,122.1,188.8,6.3,14.8,14,31.4,351.1,180.9,64.2,80.2,37.4,15.7,33.8,80.9,14.7,2169.3,1379.3,4.9,69.4,234.7,210.3,39,186.8,44.9
Mar-08,13135.4,3413.9,487.4,2495.4,3207.7,869.6,148.3,173.3,120.1,118.5,616.4,255.8,128.2,211.4,6.9,14.4,11,27,341.9,176.2,57.6,86.7,33,14.6,28.1,72.5,19.2,2290.3,1353.5,6.7,83.8,314.6,220.3,44.5,227,39.8
Apr-08,13890.9,3576.9,501.9,2552.9,3445.7,915.2,144.5,166.9,139,115.4,723.4,300.8,129.5,208.9,7.3,18.1,12.8,28.9,366.3,187.8,65.2,93.1,39.8,14,38.2,76.9,21.5,2362.3,1354.8,6.3,103.7,269.4,247.4,48,287.7,45
May-08,12900.2,3132.8,485.1,2581,3191.8,834,118.6,173.4,120.4,119.3,619.1,298.1,125.3,181.4,5.3,17.6,12.9,29.2,339.5,191.6,61.7,91.1,36.2,16.2,35.2,66.9,16.4,2157.5,1203.1,6.3,101.9,271.7,210.5,47.5,278.1,38.3
Jun-08,13822.4,3502.9,539.1,2686.3,3406,871.5,116.2,180.3,192.2,117.3,634,275.3,126.8,217.3,6,15.9,13.3,28.8,359.4,183.2,65,94,39.4,13.8,38.5,82,18.1,2399.5,1324.1,5.1,116.1,312.9,274.2,50.2,279.1,37.7
Jul-08,13073.7,3262.2,517.2,2512,3387.6,851.4,96.2,158.8,140.8,109.6,577.3,223.2,121.5,196,6.7,16.7,13.1,47.8,331,184.2,56.8,94.7,34.6,14.6,37.2,65.6,16.6,2405.9,1321.8,5.9,95.7,321.7,233.1,48.6,337,42.1
Aug-08,10994,2469.1,399.7,2326.4,3076.7,503.6,93.6,158.1,102.9,82.7,512,259.8,106.4,155.3,5.4,10.3,10.2,28.8,286.2,154.2,46,69.6,28.8,16,27.5,52.2,12.6,1942.6,1091.9,4.7,149.1,216.4,166.5,45.4,230,38.5
Sep-08,13448,3119.4,520.4,2728.8,3455.6,878.5,104.7,190.2,114.6,121.3,578.9,319.9,140,205,6.2,16.4,13.3,30.1,365.4,198.2,62.3,102.5,39.1,11.8,32.9,74.5,17.7,2343.4,1367.1,6.1,110.7,282.6,184.9,52.3,285,54.7
Oct-08,13609.1,3486.5,459.2,2638.6,3371.3,918.9,114.3,186.5,121.1,135.4,591.8,306.3,134.2,211.4,6.6,18.9,13.1,32.7,327.7,195.1,63.5,93.2,39,14,35.7,76,18.1,2287.8,1324.7,3.3,98,276.8,186.8,57.4,287.9,52.8
Nov-08,10852.4,2979.9,372.7,2135.2,2606.4,663.2,94.4,145.2,80.3,91.7,421,246.5,98.9,180.6,5.4,11.5,8,23.3,260.6,163,50.4,81.6,32,11.6,27.1,46.5,15.5,1841.4,1065.4,3.3,75.3,248.7,135,41.1,237.9,34.6
Dec-08,9586.6,2717.5,341.4,2048,2129,552.2,93,141.4,86.9,85.7,384,184.3,78.9,134.4,5.3,7.6,6.4,24.7,238.9,127.4,35.9,63.3,21.3,11.4,19.7,36.4,11.9,1570.8,900.1,3.5,80.2,230.9,117.5,35.7,168.7,34.3
Jan-09,9908.1,2753.2,413.1,1877.1,2384.4,614.4,102.3,127.8,91.8,90.5,419.4,199,76.2,147.5,4.2,8.2,6.1,18.8,257.5,131,35.7,60.4,24,7.8,14.6,33.5,9.6,1475.8,908.7,2.7,74,243.8,91.5,12.6,121,21.4
Feb-09,9796,2931.3,319.6,1896.4,2248.8,568.5,100.1,116.5,88.4,92.9,420.7,174.7,72.6,146.6,5.1,7.8,6.6,22.6,243.2,135.1,37.7,57.1,26.5,10.4,17.2,39.8,9.9,1482.6,943,3.2,67.7,171.3,122.4,20.4,128,26.6
Mar-09,10574.5,2829.6,358,2085.2,2598.7,676.1,97.5,145.7,86.2,89.3,484.1,193.5,77.6,180.1,4.8,13.4,5.9,21.4,255,151,38,64.5,28.1,11.6,19.1,48,12,1671.2,981.3,3,71,288.3,131.2,26.7,140,29.6
Apr-09,9822,2603.1,334.6,1994.5,2406.7,594.6,101.5,125.5,75.7,95.1,414.5,202.9,81.3,151.6,4.7,10.3,6.6,26.9,253.3,137.4,34.7,63.9,26.1,11.1,17.9,37,10.5,1419.5,867.1,2.2,59.3,165.2,133.6,27,132.3,32.7
May-09,9202.8,2307.9,318.1,1890.5,2309.8,599.4,72.5,112.2,82.5,80.9,428.8,169.1,72,138.7,4.3,14.7,6.2,24.6,237.2,126.2,37.1,60,25.4,11,22,39.8,11.9,1491.6,893.5,2.2,73.3,171,142.3,25,141.7,42.4
Jun-09,10455.9,2629.7,363.7,2144.3,2550.1,662.5,90.8,129.1,121.7,87.7,504.6,215.5,80.3,167.5,5,16.3,7.7,31.2,259.2,154.4,39.3,62.2,27.8,11.6,20.9,61.5,11.3,1728.8,1027,2.7,81.8,198.6,180.6,29.2,155.3,53.7
Jul-09,9864.9,2544.3,341.8,1993.8,2411.2,659.6,79.9,106.3,96.7,91.2,451.5,139.8,74.6,225.5,4.6,11.4,5.6,27.3,246.4,137,35.9,61.6,21.8,20.2,21.6,44.3,10.9,1760.2,1100.1,2.6,66.2,192.5,176.5,26.8,160.6,35
Aug-09,8585.4,2057.5,295.5,1851.2,2332.9,393.9,83.5,121.6,69.4,73.1,363.6,169.8,67.2,138.4,4.3,9.3,8.8,23.5,229.6,122.9,31.5,50.1,21,9.1,12.4,37.7,7.8,1584.7,1026.3,2.3,64.4,142.9,165.7,26.1,128.4,28.6
Sep-09,10860.5,2809.9,351.4,2131.9,2683.8,738.8,72.8,144.1,94.1,96.8,527.3,234.7,88.4,178.7,4.2,12.2,8.1,22.6,279.6,145.9,43.7,70.8,30.2,16.3,18.2,45.2,10.8,1982.4,1261.5,3.2,98.2,205.8,207.7,24.2,144.1,37.8
Oct-09,11023.5,2840.7,383.8,2180.8,2731.2,710,95.7,137.5,92.4,102.4,515.6,244.9,90.5,167.9,5.2,9.8,10.2,24.1,280.4,149.8,46.1,71.7,30,22,19.9,49.5,11.4,1814,1249.2,3.7,73.4,154.1,163.7,22,122.2,25.8
Nov-09,10695.1,2792.4,367.6,2023.8,2741.7,693.5,79.9,137.8,136.5,90.8,480.5,217.1,74.1,179.2,5.8,10.5,7.7,24.2,270.5,137.4,40.9,67.4,26.3,12.3,21.5,45.8,9.5,1732.1,1090.7,2.4,58.9,189.9,167.2,25.8,160.5,36.7
Dec-09,9975,2730.1,373.9,2073.5,2357,587,74.9,121.8,127.6,87.4,443.2,200.4,73.3,145,4.3,7.3,7.9,17.7,229.3,114.3,35.3,48.3,27.4,16.4,19.2,42.7,9.9,1712.6,1112.6,2.1,67.9,172.9,158.7,23.9,135.8,38.7
Jan-10,9591.3,2591,351.6,1897.9,2296.2,601.4,95.2,103.4,82,93.9,437.6,197.8,78.5,146.6,4.9,7.6,6.7,18.4,255.6,124.3,38.8,54.2,23.7,12.8,14.5,46.4,10.6,1669.3,1079.1,3.3,69.3,185.3,160.5,15,137.1,19.7
Feb-10,10066.4,2719.5,355.2,1947,2403.2,680.6,116,109.3,85.5,91.9,438.1,211.8,85.8,166.2,4.7,9.1,6.7,29.5,260.2,130.7,37.8,63.7,27.2,11,17,45.2,13.6,1735,1062.6,2.1,75.2,198.4,180.8,20.4,162.7,32.8
Mar-10,12231.7,3138.2,441.6,2481.8,2990.4,777.3,116.7,163.4,94.5,105,558.1,245.4,98.9,197.5,11.7,10.2,8.9,42.3,332.8,159.7,47.5,73.4,33.1,15.4,19.4,53.1,15.6,2123.8,1242.9,4.1,66.6,279.3,227.7,28.2,223.9,51
